import time: self [us] | cumulative | imported package
import time:        99 |         99 | winreg
import time:       210 |        210 |   _io
import time:        31 |         31 |   marshal
import time:       142 |        142 |   nt
import time:       323 |        705 | _frozen_importlib_external
import time:      1151 |       1151 |   time
import time:       130 |       1281 | zipimport
import time:        51 |         51 |     _codecs
import time:       365 |        416 |   codecs
import time:      1193 |       1193 |   encodings.aliases
import time:      1742 |       3350 | encodings
import time:       650 |        650 | encodings.utf_8
import time:       545 |        545 | encodings.cp1250
import time:        42 |         42 | _signal
import time:        32 |         32 |     _abc
import time:       100 |        132 |   abc
import time:        99 |        231 | io
import time:        41 |         41 |       _stat
import time:        44 |         85 |     stat
import time:       511 |        511 |     _collections_abc
import time:        31 |         31 |       genericpath
import time:        78 |         78 |       _winapi
import time:        65 |        173 |     ntpath
import time:       190 |        958 |   os
import time:        45 |         45 |   _sitebuiltins
import time:      1435 |       1435 |   _distutils_hack
import time:       466 |        466 |     pywin32_system32
import time:      1034 |       1499 |   pywin32_bootstrap
import time:       297 |        297 |   sitecustomize
import time:       183 |        183 |   usercustomize
import time:      1189 |       5604 | site
import time:       458 |        458 |         posix
import time:       186 |        644 |       posixpath
import time:      1853 |       1853 |           types
import time:       180 |        180 |             _operator
import time:      1602 |       1782 |           operator
import time:       181 |        181 |               itertools
import time:      1249 |       1249 |               keyword
import time:       728 |        728 |               reprlib
import time:        77 |         77 |               _collections
import time:      1941 |       4175 |             collections
import time:        44 |         44 |             _functools
import time:      2146 |       6363 |           functools
import time:      2734 |      12730 |         enum
import time:        78 |         78 |           _sre
import time:       664 |        664 |             re._constants
import time:       891 |       1555 |           re._parser
import time:       506 |        506 |           re._casefix
import time:       898 |       3035 |         re._compiler
import time:       547 |        547 |         copyreg
import time:      1724 |      18035 |       re
import time:      1490 |      20168 |     fnmatch
import time:       626 |        626 |     warnings
import time:        59 |         59 |     errno
import time:       499 |        499 |       urllib
import time:        61 |         61 |       math
import time:      1253 |       1253 |       ipaddress
import time:      1207 |       3019 |     urllib.parse
import time:      2103 |      25973 |   pathlib
import time:        85 |         85 |     _csv
import time:      1747 |       1832 |   csv
import time:       225 |        225 |         _json
import time:      1874 |       2099 |       json.scanner
import time:      1062 |       3160 |     json.decoder
import time:      3894 |       3894 |     json.encoder
import time:       828 |       7881 |   json
import time:      1910 |       1910 |     _weakrefset
import time:      1757 |       3667 |   threading
import time:      1239 |       1239 |     concurrent
import time:      1377 |       1377 |           collections.abc
import time:       622 |        622 |               token
import time:        50 |         50 |               _tokenize
import time:      1187 |       1857 |             tokenize
import time:       827 |       2684 |           linecache
import time:      1025 |       1025 |           textwrap
import time:       905 |        905 |           contextlib
import time:      2676 |       8665 |         traceback
import time:       736 |        736 |         weakref
import time:        41 |         41 |           _string
import time:       816 |        856 |         string
import time:        39 |         39 |         atexit
import time:      3395 |      13688 |       logging
import time:      1364 |      15051 |     concurrent.futures._base
import time:      1321 |      17610 |   concurrent.futures
import time:        47 |         47 |         _heapq
import time:       572 |        618 |       heapq
import time:      2573 |       2573 |       _queue
import time:       735 |       3925 |     queue
import time:      1708 |       5633 |   concurrent.futures.thread
import time:      1088 |       1088 |   copy
import time:       194 |        194 |     _datetime
import time:       745 |        939 |   datetime
import time:       486 |        486 |     numpy.version
import time:       502 |        502 |     numpy._expired_attrs_2_0
import time:       382 |        382 |         numpy._utils._convertions
import time:       397 |        779 |       numpy._utils
import time:       495 |       1273 |     numpy._globals
import time:        49 |         49 |       numpy._distributor_init_local
import time:       341 |        389 |     numpy._distributor_init
import time:      1371 |       1371 |               numpy.exceptions
import time:       741 |        741 |               numpy._core._exceptions
import time:        42 |         42 |                   _contextvars
import time:       643 |        685 |                 contextvars
import time:       402 |       1087 |               numpy._core.printoptions
import time:       530 |        530 |               numpy.dtypes
import time:      5341 |       9069 |             numpy._core._multiarray_umath
import time:       161 |        161 |                   _ast
import time:      3284 |       3444 |                 ast
import time:        54 |         54 |                     _opcode
import time:      1114 |       1167 |                   opcode
import time:      1848 |       3015 |                 dis
import time:       688 |        688 |                   importlib
import time:        62 |        750 |                 importlib.machinery
import time:      3954 |      11160 |               inspect
import time:       488 |        488 |               numpy._utils._inspect
import time:      1757 |      13404 |             numpy._core.overrides
import time:      1690 |      24162 |           numpy._core.multiarray
import time:      1311 |       1311 |           numpy._core.umath
import time:      1887 |       1887 |             numbers
import time:       645 |        645 |             numpy._core._dtype
import time:       412 |        412 |             numpy._core._string_helpers
import time:      1201 |       1201 |             numpy._core._type_aliases
import time:      1079 |       5222 |           numpy._core.numerictypes
import time:        77 |         77 |                         _struct
import time:       534 |        611 |                       struct
import time:       643 |        643 |                       _compat_pickle
import time:       100 |        100 |                       _pickle
import time:      1343 |       2695 |                     pickle
import time:       461 |       3156 |                   numpy._core._methods
import time:       893 |       4049 |                 numpy._core.fromnumeric
import time:       516 |       4564 |               numpy._core.shape_base
import time:       444 |        444 |               numpy._core._ufunc_config
import time:       385 |        385 |               numpy._core._asarray
import time:       793 |        793 |               numpy._core.arrayprint
import time:      1001 |       7185 |             numpy._core.numeric
import time:       656 |       7841 |           numpy._core.einsumfunc
import time:       506 |        506 |           numpy._core.function_base
import time:       504 |        504 |           numpy._core.getlimits
import time:       439 |        439 |           numpy._core.memmap
import time:       582 |        582 |           numpy._core.records
import time:      4146 |       4146 |           numpy._core._add_newdocs
import time:       938 |        938 |           numpy._core._add_newdocs_scalars
import time:       405 |        405 |           numpy._core._dtype_ctypes
import time:      4911 |       4911 |               _ctypes
import time:      1463 |       1463 |               ctypes._endian
import time:      1316 |       7689 |             ctypes
import time:       782 |       8471 |           numpy._core._internal
import time:      1136 |       1136 |           numpy._pytesttester
import time:       844 |      56499 |         numpy._core
import time:        34 |      56532 |       numpy._core._multiarray_umath
import time:       426 |      56958 |     numpy.__config__
import time:        46 |         46 |           _typing
import time:      2243 |       2288 |         typing
import time:       415 |        415 |                       numpy._typing._nbit_base
import time:       441 |        441 |                       numpy._typing._nested_sequence
import time:       350 |        350 |                       numpy._typing._shape
import time:      1782 |       2986 |                     numpy._typing._array_like
import time:      1347 |       1347 |                     numpy._typing._char_codes
import time:      1631 |       1631 |                     numpy._typing._dtype_like
import time:       448 |        448 |                     numpy._typing._nbit
import time:       424 |        424 |                     numpy._typing._scalars
import time:       408 |        408 |                     numpy._typing._ufunc
import time:       576 |       7818 |                   numpy._typing
import time:       565 |        565 |                     numpy.lib._stride_tricks_impl
import time:       549 |       1113 |                   numpy.lib._twodim_base_impl
import time:       358 |        358 |                     numpy.lib._array_utils_impl
import time:       359 |        716 |                   numpy.lib.array_utils
import time:       663 |        663 |                   numpy.linalg._umath_linalg
import time:      1430 |      11738 |                 numpy.linalg._linalg
import time:       444 |      12182 |               numpy.linalg
import time:       638 |      12820 |             numpy.matrixlib.defmatrix
