datetime,source,ch1_flow,ch2_flow,ch3_flow,ch4_flow,ch5_flow,ch6_flow,ch1_temp,ch2_temp,ch3_temp,ch4_temp,ch5_temp,ch6_temp
2018-11-01 00:00:00,historical_xlsx,12.20,10.10,8.90,6.80,17.40,20.10,10.60,13.80,13.60,13.60,17.10,20.00
2018-11-12 00:00:00,historical_xlsx,12.20,10.20,9.10,6.80,24.70,20.30,10.60,13.80,13.80,13.60,17.00,20.00
2018-11-14 00:00:00,historical_xlsx,12.20,10.20,8.90,6.90,24.90,20.10,10.60,13.90,13.70,13.60,17.00,20.00
2018-11-28 00:00:00,historical_xlsx,12.10,10.20,9.00,6.90,17.50,20.00,10.60,13.80,13.80,13.60,17.10,20.00
2018-12-05 00:00:00,historical_xlsx,12.10,10.10,8.90,7.00,24.70,20.50,10.60,13.90,13.60,13.50,17.00,20.10
2018-12-10 00:00:00,historical_xlsx,12.10,10.20,9.00,6.80,24.20,19.60,10.70,13.80,13.70,13.50,17.20,20.10
2018-12-11 00:00:00,historical_xlsx,12.20,10.20,8.80,6.90,24.80,20.20,10.70,13.80,13.80,13.50,17.00,19.90
2018-12-21 00:00:00,historical_xlsx,12.00,10.00,8.80,6.80,24.50,19.50,10.80,13.80,13.70,13.70,17.20,20.00
2019-01-03 00:00:00,historical_xlsx,12.10,10.00,9.00,6.90,24.70,20.50,10.60,13.80,13.50,13.60,17.00,19.90
2019-01-09 00:00:00,historical_xlsx,12.00,10.00,9.10,6.90,25.00,20.20,10.60,13.70,13.60,13.40,17.00,20.10
2019-01-14 00:00:00,historical_xlsx,12.00,10.10,8.80,6.90,24.20,20.10,10.80,13.80,13.70,13.40,17.00,20.10
2019-01-21 00:00:00,historical_xlsx,12.10,10.00,8.70,6.80,24.80,20.30,10.60,13.80,13.90,13.50,17.00,20.00
2019-01-25 00:00:00,historical_xlsx,12.10,10.00,8.80,6.80,24.70,20.30,10.60,13.70,13.80,13.60,17.00,20.00
2019-01-30 00:00:00,historical_xlsx,12.00,10.00,8.90,6.80,24.70,20.20,10.70,13.70,13.60,13.50,17.00,20.00
2019-02-05 00:00:00,historical_xlsx,12.00,10.10,8.90,6.70,24.30,20.40,10.60,13.50,13.90,13.60,17.00,20.00
2019-02-12 00:00:00,historical_xlsx,12.00,9.90,8.80,6.70,24.50,20.10,10.50,13.70,13.70,13.40,16.90,19.90
2019-02-14 00:00:00,historical_xlsx,12.20,9.90,8.80,6.60,24.70,19.90,10.70,13.70,13.80,13.50,17.00,20.00
2019-02-18 00:00:00,historical_xlsx,12.00,9.80,9.00,6.80,25.00,20.40,10.60,13.80,13.80,13.60,17.00,20.00
2019-02-21 00:00:00,historical_xlsx,12.00,9.90,8.70,6.70,24.40,20.30,10.50,13.80,14.00,13.50,17.00,20.00
2019-02-26 00:00:00,historical_xlsx,12.30,10.00,9.00,6.70,24.60,20.40,10.60,13.60,13.80,13.40,17.00,20.00
2019-03-04 00:00:00,historical_xlsx,11.80,9.80,8.70,6.70,24.90,20.20,10.50,13.60,13.60,13.40,17.00,20.00
2019-03-26 00:00:00,historical_xlsx,9.80,9.30,9.30,11.60,24.30,20.30,10.40,13.70,13.70,8.80,17.00,20.00
2019-03-28 00:00:00,historical_xlsx,9.80,9.20,8.70,11.60,24.40,20.40,10.70,13.70,14.10,8.80,16.90,20.10
2019-04-11 00:00:00,historical_xlsx,9.60,8.80,9.10,11.70,23.70,20.00,10.50,13.70,13.80,8.90,17.10,20.00
2019-04-24 00:00:00,historical_xlsx,9.60,8.80,9.10,11.90,17.30,20.30,10.50,13.60,13.80,8.70,16.90,19.90
2019-04-29 00:00:00,historical_xlsx,9.40,8.80,9.10,11.80,24.70,20.30,10.40,13.70,13.90,8.90,17.00,20.00
2019-05-14 00:00:00,historical_xlsx,9.20,8.60,9.00,11.70,24.30,20.30,10.60,13.70,13.80,8.80,17.00,20.00
2019-05-20 00:00:00,historical_xlsx,9.10,8.50,8.80,11.60,24.30,19.90,10.60,13.60,14.10,8.90,17.00,20.00
2019-05-22 00:00:00,historical_xlsx,9.00,8.20,8.90,11.80,24.60,20.10,10.60,13.60,13.80,9.00,17.00,20.00
2019-05-27 00:00:00,historical_xlsx,8.90,7.90,8.80,11.70,24.20,20.40,10.50,13.70,14.00,8.90,17.00,20.00
2019-06-10 00:00:00,historical_xlsx,8.80,7.80,8.50,11.60,24.50,20.20,10.50,13.60,14.00,8.90,17.00,20.00
