camera,timestamp_ns,datetime_prague,frame_mean,array_level,frame_state,A1_brightness,A1_score,A1_state,B1_brightness,B1_score,B1_state,C1_brightness,C1_score,C1_state,D1_brightness,D1_score,D1_state,E1_brightness,E1_score,E1_state,A2_brightness,A2_score,A2_state,B2_brightness,B2_score,B2_state,C2_brightness,C2_score,C2_state,D2_brightness,D2_score,D2_state,E2_brightness,E2_score,E2_state,A3_brightness,A3_score,A3_state,B3_brightness,B3_score,B3_state,C3_brightness,C3_score,C3_state,D3_brightness,D3_score,D3_state,E3_brightness,E3_score,E3_state,A4_brightness,A4_score,A4_state,B4_brightness,B4_score,B4_state,C4_brightness,C4_score,C4_state,D4_brightness,D4_score,D4_state,E4_brightness,E4_score,E4_state,A5_brightness,A5_score,A5_state,B5_brightness,B5_score,B5_state,C5_brightness,C5_score,C5_state,D5_brightness,D5_score,D5_state,E5_brightness,E5_score,E5_state,A6_brightness,A6_score,A6_state,B6_brightness,B6_score,B6_state,C6_brightness,C6_score,C6_state,D6_brightness,D6_score,D6_state,E6_brightness,E6_score,E6_state,A7_brightness,A7_score,A7_state,B7_brightness,B7_score,B7_state,C7_brightness,C7_score,C7_state,D7_brightness,D7_score,D7_state,E7_brightness,E7_score,E7_state,A8_brightness,A8_score,A8_state,B8_brightness,B8_score,B8_state,C8_brightness,C8_score,C8_state,D8_brightness,D8_score,D8_state,E8_brightness,E8_score,E8_state
PD1M1,1782281299685534000,2026-06-24 08:08:19,0.432675,0.9300,warmup,0.191870,1.0000,no-data,0.289451,1.0000,no-data,0.396579,1.0000,no-data,0.544802,1.0000,no-data,0.717622,1.0000,no-data,0.159306,1.0000,no-data,0.337894,1.0000,no-data,0.492410,1.0000,no-data,0.744727,1.0000,no-data,0.722156,1.0000,no-data,0.202394,1.0000,no-data,0.298321,1.0000,no-data,0.572170,1.0000,no-data,0.718413,1.0000,no-data,0.692051,1.0000,no-data,0.208185,1.0000,no-data,0.341036,1.0000,no-data,0.759902,1.0000,no-data,0.782437,1.0000,no-data,0.799306,1.0000,no-data,0.244319,1.0000,no-data,0.403932,1.0000,no-data,0.645661,1.0000,no-data,0.906360,1.0000,no-data,0.698337,1.0000,no-data,0.271997,1.0000,no-data,0.484058,1.0000,no-data,0.756972,1.0000,no-data,0.929533,1.0000,no-data,0.729836,1.0000,no-data,0.293603,1.0000,no-data,0.498309,1.0000,no-data,0.723805,1.0000,no-data,0.820653,1.0000,no-data,0.814414,1.0000,no-data,0.310225,1.0000,no-data,0.588515,1.0000,no-data,0.780688,1.0000,no-data,0.743728,1.0000,no-data,0.638301,1.0000,no-data
PD1M1,1782281304685534000,2026-06-24 08:08:24,0.432675,0.9300,warmup,0.191870,1.0000,no-data,0.289451,1.0000,no-data,0.396579,1.0000,no-data,0.544802,1.0000,no-data,0.717622,1.0000,no-data,0.159306,1.0000,no-data,0.337894,1.0000,no-data,0.492410,1.0000,no-data,0.744727,1.0000,no-data,0.722156,1.0000,no-data,0.202394,1.0000,no-data,0.298321,1.0000,no-data,0.572170,1.0000,no-data,0.718413,1.0000,no-data,0.692051,1.0000,no-data,0.208185,1.0000,no-data,0.341036,1.0000,no-data,0.759902,1.0000,no-data,0.782437,1.0000,no-data,0.799306,1.0000,no-data,0.244319,1.0000,no-data,0.403932,1.0000,no-data,0.645661,1.0000,no-data,0.906360,1.0000,no-data,0.698337,1.0000,no-data,0.271997,1.0000,no-data,0.484058,1.0000,no-data,0.756972,1.0000,no-data,0.929533,1.0000,no-data,0.729836,1.0000,no-data,0.293603,1.0000,no-data,0.498309,1.0000,no-data,0.723805,1.0000,no-data,0.820653,1.0000,no-data,0.814414,1.0000,no-data,0.310225,1.0000,no-data,0.588515,1.0000,no-data,0.780688,1.0000,no-data,0.743728,1.0000,no-data,0.638301,1.0000,no-data
PD1M1,1782281309685534000,2026-06-24 08:08:29,0.432675,0.9300,warmup,0.191870,1.0000,no-data,0.289451,1.0000,no-data,0.396579,1.0000,no-data,0.544802,1.0000,no-data,0.717622,1.0000,no-data,0.159306,1.0000,no-data,0.337894,1.0000,no-data,0.492410,1.0000,no-data,0.744727,1.0000,no-data,0.722156,1.0000,no-data,0.202394,1.0000,no-data,0.298321,1.0000,no-data,0.572170,1.0000,no-data,0.718413,1.0000,no-data,0.692051,1.0000,no-data,0.208185,1.0000,no-data,0.341036,1.0000,no-data,0.759902,1.0000,no-data,0.782437,1.0000,no-data,0.799306,1.0000,no-data,0.244319,1.0000,no-data,0.403932,1.0000,no-data,0.645661,1.0000,no-data,0.906360,1.0000,no-data,0.698337,1.0000,no-data,0.271997,1.0000,no-data,0.484058,1.0000,no-data,0.756972,1.0000,no-data,0.929533,1.0000,no-data,0.729836,1.0000,no-data,0.293603,1.0000,no-data,0.498309,1.0000,no-data,0.723805,1.0000,no-data,0.820653,1.0000,no-data,0.814414,1.0000,no-data,0.310225,1.0000,no-data,0.588515,1.0000,no-data,0.780688,1.0000,no-data,0.743728,1.0000,no-data,0.638301,1.0000,no-data
PD1M1,1782281314685534000,2026-06-24 08:08:34,0.432675,0.9300,warmup,0.191870,1.0000,no-data,0.289451,1.0000,no-data,0.396579,1.0000,no-data,0.544802,1.0000,no-data,0.717622,1.0000,no-data,0.159306,1.0000,no-data,0.337894,1.0000,no-data,0.492410,1.0000,no-data,0.744727,1.0000,no-data,0.722156,1.0000,no-data,0.202394,1.0000,no-data,0.298321,1.0000,no-data,0.572170,1.0000,no-data,0.718413,1.0000,no-data,0.692051,1.0000,no-data,0.208185,1.0000,no-data,0.341036,1.0000,no-data,0.759902,1.0000,no-data,0.782437,1.0000,no-data,0.799306,1.0000,no-data,0.244319,1.0000,no-data,0.403932,1.0000,no-data,0.645661,1.0000,no-data,0.906360,1.0000,no-data,0.698337,1.0000,no-data,0.271997,1.0000,no-data,0.484058,1.0000,no-data,0.756972,1.0000,no-data,0.929533,1.0000,no-data,0.729836,1.0000,no-data,0.293603,1.0000,no-data,0.498309,1.0000,no-data,0.723805,1.0000,no-data,0.820653,1.0000,no-data,0.814414,1.0000,no-data,0.310225,1.0000,no-data,0.588515,1.0000,no-data,0.780688,1.0000,no-data,0.743728,1.0000,no-data,0.638301,1.0000,no-data
PD1M1,1782281319685534000,2026-06-24 08:08:39,0.432675,0.9300,warmup,0.191870,1.0000,no-data,0.289451,1.0000,no-data,0.396579,1.0000,no-data,0.544802,1.0000,no-data,0.717622,1.0000,no-data,0.159306,1.0000,no-data,0.337894,1.0000,no-data,0.492410,1.0000,no-data,0.744727,1.0000,no-data,0.722156,1.0000,no-data,0.202394,1.0000,no-data,0.298321,1.0000,no-data,0.572170,1.0000,no-data,0.718413,1.0000,no-data,0.692051,1.0000,no-data,0.208185,1.0000,no-data,0.341036,1.0000,no-data,0.759902,1.0000,no-data,0.782437,1.0000,no-data,0.799306,1.0000,no-data,0.244319,1.0000,no-data,0.403932,1.0000,no-data,0.645661,1.0000,no-data,0.906360,1.0000,no-data,0.698337,1.0000,no-data,0.271997,1.0000,no-data,0.484058,1.0000,no-data,0.756972,1.0000,no-data,0.929533,1.0000,no-data,0.729836,1.0000,no-data,0.293603,1.0000,no-data,0.498309,1.0000,no-data,0.723805,1.0000,no-data,0.820653,1.0000,no-data,0.814414,1.0000,no-data,0.310225,1.0000,no-data,0.588515,1.0000,no-data,0.780688,1.0000,no-data,0.743728,1.0000,no-data,0.638301,1.0000,no-data
PD1M1,1782281324685534000,2026-06-24 08:08:44,0.432675,0.9300,warmup,0.191870,1.0000,no-data,0.289451,1.0000,no-data,0.396579,1.0000,no-data,0.544802,1.0000,no-data,0.717622,1.0000,no-data,0.159306,1.0000,no-data,0.337894,1.0000,no-data,0.492410,1.0000,no-data,0.744727,1.0000,no-data,0.722156,1.0000,no-data,0.202394,1.0000,no-data,0.298321,1.0000,no-data,0.572170,1.0000,no-data,0.718413,1.0000,no-data,0.692051,1.0000,no-data,0.208185,1.0000,no-data,0.341036,1.0000,no-data,0.759902,1.0000,no-data,0.782437,1.0000,no-data,0.799306,1.0000,no-data,0.244319,1.0000,no-data,0.403932,1.0000,no-data,0.645661,1.0000,no-data,0.906360,1.0000,no-data,0.698337,1.0000,no-data,0.271997,1.0000,no-data,0.484058,1.0000,no-data,0.756972,1.0000,no-data,0.929533,1.0000,no-data,0.729836,1.0000,no-data,0.293603,1.0000,no-data,0.498309,1.0000,no-data,0.723805,1.0000,no-data,0.820653,1.0000,no-data,0.814414,1.0000,no-data,0.310225,1.0000,no-data,0.588515,1.0000,no-data,0.780688,1.0000,no-data,0.743728,1.0000,no-data,0.638301,1.0000,no-data
PD1M1,1782281329685534000,2026-06-24 08:08:49,0.432675,0.9300,warmup,0.191870,1.0000,no-data,0.289451,1.0000,no-data,0.396579,1.0000,no-data,0.544802,1.0000,no-data,0.717622,1.0000,no-data,0.159306,1.0000,no-data,0.337894,1.0000,no-data,0.492410,1.0000,no-data,0.744727,1.0000,no-data,0.722156,1.0000,no-data,0.202394,1.0000,no-data,0.298321,1.0000,no-data,0.572170,1.0000,no-data,0.718413,1.0000,no-data,0.692051,1.0000,no-data,0.208185,1.0000,no-data,0.341036,1.0000,no-data,0.759902,1.0000,no-data,0.782437,1.0000,no-data,0.799306,1.0000,no-data,0.244319,1.0000,no-data,0.403932,1.0000,no-data,0.645661,1.0000,no-data,0.906360,1.0000,no-data,0.698337,1.0000,no-data,0.271997,1.0000,no-data,0.484058,1.0000,no-data,0.756972,1.0000,no-data,0.929533,1.0000,no-data,0.729836,1.0000,no-data,0.293603,1.0000,no-data,0.498309,1.0000,no-data,0.723805,1.0000,no-data,0.820653,1.0000,no-data,0.814414,1.0000,no-data,0.310225,1.0000,no-data,0.588515,1.0000,no-data,0.780688,1.0000,no-data,0.743728,1.0000,no-data,0.638301,1.0000,no-data
PD1M1,1782281334685534000,2026-06-24 08:08:54,0.432675,0.9300,warmup,0.191870,1.0000,no-data,0.289451,1.0000,no-data,0.396579,1.0000,no-data,0.544802,1.0000,no-data,0.717622,1.0000,no-data,0.159306,1.0000,no-data,0.337894,1.0000,no-data,0.492410,1.0000,no-data,0.744727,1.0000,no-data,0.722156,1.0000,no-data,0.202394,1.0000,no-data,0.298321,1.0000,no-data,0.572170,1.0000,no-data,0.718413,1.0000,no-data,0.692051,1.0000,no-data,0.208185,1.0000,no-data,0.341036,1.0000,no-data,0.759902,1.0000,no-data,0.782437,1.0000,no-data,0.799306,1.0000,no-data,0.244319,1.0000,no-data,0.403932,1.0000,no-data,0.645661,1.0000,no-data,0.906360,1.0000,no-data,0.698337,1.0000,no-data,0.271997,1.0000,no-data,0.484058,1.0000,no-data,0.756972,1.0000,no-data,0.929533,1.0000,no-data,0.729836,1.0000,no-data,0.293603,1.0000,no-data,0.498309,1.0000,no-data,0.723805,1.0000,no-data,0.820653,1.0000,no-data,0.814414,1.0000,no-data,0.310225,1.0000,no-data,0.588515,1.0000,no-data,0.780688,1.0000,no-data,0.743728,1.0000,no-data,0.638301,1.0000,no-data
PD1M1,1782281339685534000,2026-06-24 08:08:59,0.432675,0.9300,warmup,0.191870,1.0000,no-data,0.289451,1.0000,no-data,0.396579,1.0000,no-data,0.544802,1.0000,no-data,0.717622,1.0000,no-data,0.159306,1.0000,no-data,0.337894,1.0000,no-data,0.492410,1.0000,no-data,0.744727,1.0000,no-data,0.722156,1.0000,no-data,0.202394,1.0000,no-data,0.298321,1.0000,no-data,0.572170,1.0000,no-data,0.718413,1.0000,no-data,0.692051,1.0000,no-data,0.208185,1.0000,no-data,0.341036,1.0000,no-data,0.759902,1.0000,no-data,0.782437,1.0000,no-data,0.799306,1.0000,no-data,0.244319,1.0000,no-data,0.403932,1.0000,no-data,0.645661,1.0000,no-data,0.906360,1.0000,no-data,0.698337,1.0000,no-data,0.271997,1.0000,no-data,0.484058,1.0000,no-data,0.756972,1.0000,no-data,0.929533,1.0000,no-data,0.729836,1.0000,no-data,0.293603,1.0000,no-data,0.498309,1.0000,no-data,0.723805,1.0000,no-data,0.820653,1.0000,no-data,0.814414,1.0000,no-data,0.310225,1.0000,no-data,0.588515,1.0000,no-data,0.780688,1.0000,no-data,0.743728,1.0000,no-data,0.638301,1.0000,no-data
PD1M1,1782281344685534000,2026-06-24 08:09:04,0.432675,0.9300,warmup,0.191870,1.0000,no-data,0.289451,1.0000,no-data,0.396579,1.0000,no-data,0.544802,1.0000,no-data,0.717622,1.0000,no-data,0.159306,1.0000,no-data,0.337894,1.0000,no-data,0.492410,1.0000,no-data,0.744727,1.0000,no-data,0.722156,1.0000,no-data,0.202394,1.0000,no-data,0.298321,1.0000,no-data,0.572170,1.0000,no-data,0.718413,1.0000,no-data,0.692051,1.0000,no-data,0.208185,1.0000,no-data,0.341036,1.0000,no-data,0.759902,1.0000,no-data,0.782437,1.0000,no-data,0.799306,1.0000,no-data,0.244319,1.0000,no-data,0.403932,1.0000,no-data,0.645661,1.0000,no-data,0.906360,1.0000,no-data,0.698337,1.0000,no-data,0.271997,1.0000,no-data,0.484058,1.0000,no-data,0.756972,1.0000,no-data,0.929533,1.0000,no-data,0.729836,1.0000,no-data,0.293603,1.0000,no-data,0.498309,1.0000,no-data,0.723805,1.0000,no-data,0.820653,1.0000,no-data,0.814414,1.0000,no-data,0.310225,1.0000,no-data,0.588515,1.0000,no-data,0.780688,1.0000,no-data,0.743728,1.0000,no-data,0.638301,1.0000,no-data
